ticker,name,sector,error,n_years_used,price,revenue,total_assets,current_ratio,total_debt,dividend_years_streak,eps_growth_over_period,P/E,P/B,score,max_score,company_type,na_criteria,fscore,eps_ttm,book_value_per_share,graham_number,margin_of_safety,score_ent,max_score_ent,enterprise_value,ebit,ebit_ev,gross_profitability,net_payout_yield,net_debt_to_ebitda,measurable,data_source,sec_fields,accruals,dollar_volume,next_earnings,share_class_of,crit_1_adequate_size,crit_2_earnings_stability,crit_3_financial_strength,crit_4_returns_capital,crit_5_cheap_ebit_ev,crit_6_gross_profitability,ent_1_financial_condition,ent_2_earnings_stability_5y,ent_3_pays_dividend_now,ent_4_earnings_higher_than_past,ent_5_price_under_120pct_net_assets,f_1_roa_positive,f_2_cfo_positive,f_3_roa_improving,f_4_cfo_above_income,f_5_leverage_down,f_6_current_ratio_up,f_7_no_new_shares,f_8_gross_margin_up,f_9_asset_turnover_up,beneish_m,beneish_flag,altman_z,altman_flag,momentum_12_1,accruals_yf,red_flag,rank_bucket,rank_basis,quality_score,accruals_flag,liquidity_flag
ADT,ADT Inc.,Industrials,,4,6.4,5128607000.0,15739056000.0,0.689861821857598,7687587000.0,9,,8.888888,1.350211,6,6,industrial,,8,0.7200000720000073,4.739999896312503,8.762876582439304,0.2696462240692148,3,5,12359291392.0,1308901000.0,0.1041,0.2621,0.1697,2.8712167666809782,True,sec,10,-0.0818,50360134.400000006,2026-11-05,,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,-2.84,תקין,0.56,סיכון חדלות פירעון,-0.1349,-0.0811,אלטמן,כלל השוק,ענף,50,,
ALV,"Autoliv, Inc.",Consumer Cyclical,,4,117.52,10815000000.0,8497000000.0,1.0287400564536824,2038000000.0,30,,13.858491,3.456572,6,6,industrial,,7,9.55,33.333333333333336,80.54197334331013,-0.4591149821853884,3,5,10267837760.0,1088000000.0,0.1044,0.2399,0.0684,1.111036789297659,True,sec,14,-0.0497,77466128.48,2026-10-23,,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,-2.65,תקין,2.92,אזור אפור,0.0027,-0.0488,,Consumer Cyclical,ענף,33,,
ANF,Abercrombie & Fitch Company,Consumer Cyclical,,4,135.71,5266292000.0,3594856000.0,1.4066989564960986,1287440000.0,0,,11.719344,4.2514334,6,6,industrial,,5,10.46,13.112497579864472,91.19767537302953,-0.4880861759348572,2,5,6423351296.0,699143000.0,0.1126,0.914,0.0847,0.5759660938198163,True,sec,14,-0.0312,206570162.24,2026-11-25,,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,-2.3,תקין,5.44,תקין,0.6817,-0.0294,,Consumer Cyclical,ענף,79,,
APA,APA Corporation,Energy,,4,42.74,8572000256.0,17973000000.0,0.9459908599916907,3743000000.0,45,,9.016878,2.1346521,6,6,industrial,,7,3.99,14.2536052028757,46.209804121254926,0.0750880508419842,2,5,18273024704.0,3087000000.0,0.1587,0.2037,0.024,0.6119458356520127,True,sec,11,-0.1731,239824354.86,2026-11-04,,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,-3.61,תקין,1.82,אזור אפור,0.6923,-0.1606,,כלל השוק,ענף,60,,
APAM,Artisan Partners Asset Manageme,Financial Services,,4,36.16,1196688000.0,1459516000.0,3.007,190000000.0,14,,8.671463,6.112238,6,6,financial,,6,4.05,5.1814408489351,23.55989577605232,-0.5348115434685059,3,5,2406608976.0,399631000.0,0.1869,0.3469,0.1001,-0.3927101848614578,True,sec,10,0.0811,31938030.72,2026-10-27,,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,False,True,,לא רלוונטי,,לא רלוונטי,-0.0062,0.1305,,Financial Services,ענף,69,לא רלוונטי,
ASO,"Academy Sports and Outdoors, In",Consumer Cyclical,,4,49.14,6053414000.0,5508148000.0,1.7429772740085303,494158000.0,5,,8.2449665,1.3992027,6,6,industrial,,7,5.54,35.11977946195972,68.62646778118838,0.2839497414222146,3,5,3221931816.0,512184000.0,0.1112,0.399,0.0772,0.3085505078340288,True,sec,14,-0.0105,84205419.48,2026-12-08,,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,-1.6,חשד למניפולציה,2.78,אזור אפור,-0.0881,-0.011,בניש,Consumer Cyclical,ענף,46,,
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,,4,16.45,7291000000.0,5156000000.0,1.200937316930287,3614000000.0,42,,4.3175855,-3.1465187,6,6,industrial,,5,3.11,-5.227722772277228,,,3,5,6137065472.0,1126000000.0,0.1593,0.6291,0.1712,2.0434782608695654,True,sec,14,-0.0879,98894751.55,2026-11-19,,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,False,False,-3.01,תקין,2.21,אזור אפור,-0.2686,-0.0894,,Consumer Cyclical,ענף,70,,
BYD,Boyd Gaming Corporation,Consumer Cyclical,,4,71.23,4091989000.0,6684204000.0,0.7738644293471723,2613755000.0,5,,3.1601598,2.0827487,6,6,industrial,,6,22.56,34.20015441845256,131.6986263797218,0.4591439412995457,3,5,7465387312.0,748406000.0,0.3068,0.3083,0.1616,2.178771895775537,True,sec,13,0.1296,67095810.8,2026-10-22,,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True,-2.08,אזור אפור,3.13,תקין,-0.0457,0.1311,צבירות גבוהות,Consumer Cyclical,ענף,70,צבירות גבוהות,
CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,,4,67.43,2911632000.0,3107570000.0,7.695468965919928,0.0,6,,10.170437,1.2032907,6,6,industrial,,5,6.63,35.07456601963736,91.43012882537334,0.2624969376474608,3,5,2247830784.0,350186000.0,0.1525,0.2163,0.1152,-0.2292460376486835,True,sec,15,-0.0525,65201371.07000001,2026-09-30,,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,,True,True,False,False,-2.17,אזור אפור,7.12,תקין,-0.148,-0.052,,Consumer Defensive,ענף,55,,
CBT,Cabot Corporation,Basic Materials,,4,78.76,3713000000.0,3975000000.0,1.4669603524229076,1273000000.0,42,,22.061626,2.5336165,6,6,industrial,,6,6.02,31.08597126529025,49.96981806377332,-0.5761514260364846,3,5,5088702912.0,621000000.0,0.1224,0.2464,0.063,1.32,True,sec,14,-0.084,36249053.72,2026-11-02,,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,-2.94,תקין,3.54,תקין,0.1201,-0.0758,,כלל השוק,ענף,57,,
CENTA,Central Garden & Pet Company,Consumer Defensive,,4,34.06,3129064000.0,3789953000.0,3.7868946101432126,1193058000.0,0,,12.614815,1.2203075,6,6,industrial,,8,2.55,27.91099784275685,41.1775799927122,0.1728508570433691,3,5,2328252000.0,250042000.0,0.1078,0.2751,0.0727,0.5862254281414957,True,sec,13,-0.0448,11288607.98,2026-11-25,,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,-2.75,תקין,2.61,אזור אפור,0.268,-0.0465,,Consumer Defensive,ענף,65,,
CMCSA,Comcast Corporation,Communication Services,,4,21.91,123707000000.0,257548000000.0,0.7957876288036745,90381000000.0,19,,7.022436,0.8656315,6,6,industrial,,8,5.39,25.31100127479187,42.15248822477024,0.4802204822840105,4,5,160453632448.0,20672000000.0,0.1878,0.3256,0.155,2.242367550566672,True,sec,12,-0.053,703719008.02,2026-10-22,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,-2.72,תקין,1.41,סיכון חדלות פירעון,-0.0822,-0.0513,אלטמן,כלל השוק,ענף,75,,
