ticker,price,rsi,regime,regime_key,regime_confidence,rsi_zone,band_support,band_resistance,regime_shift,deriv_osc,deriv_dir,deriv_bars_since_cross,pos_rev_bars_ago,pos_rev_target,pos_rev_upside_pct,neg_rev_bars_ago,neg_rev_target,neg_rev_downside_pct,atr_pct,adx,sma200,dist_sma200_pct,above_sma50,direction,stop_price,stop_pct,risk_reward,hist_patterns,hist_hits,hist_hit_rate,hist_median_bars,horizon_weeks,signal,signal_rank,signal_kind,name,sector,graham_mode,graham_score,graham_max,fscore,margin_of_safety,graham_number,quality_score,beneish_m,beneish_flag,altman_z,altman_flag,ebit_ev,gross_profitability,momentum_12_1,net_payout_yield,red_flag,accruals,accruals_flag,liquidity_flag,dollar_volume,next_earnings,rank_bucket,rank_basis,data_source
APA,42.74,48.5,שורי,bull,חלקי,על התמיכה,40-50,80-90,,-6.393,יורדת,7,14,55.34,29.5,33,30.87,-27.8,3.6,23.8,34.92,22.4,כן,לונג,41.46,-3.0,9.84,59,44,75.0,25,5.0,אזור כניסה,1,כניסה,APA Corporation,Energy,מגן,6,6,7,0.0750880508419842,46.209804121254926,60,-3.61,תקין,1.82,אזור אפור,0.1587,0.2037,0.6923,0.024,,-0.1731,,,239824354.86,2026-11-04,כלל השוק,ענף,sec
CBT,78.76,41.9,שורי,bull,חלקי,על התמיכה,40-50,80-90,,2.221,עולה,3,11,88.25,12.0,105,55.12,-30.0,2.74,23.1,78.69,0.1,לא,לונג,74.95,-4.8,2.49,64,53,83.0,37,7.4,אזור כניסה,1,כניסה,Cabot Corporation,Basic Materials,מגן,6,6,6,-0.5761514260364846,49.96981806377332,57,-2.94,תקין,3.54,תקין,0.1224,0.2464,0.1201,0.063,,-0.084,,,36249053.72,2026-11-02,כלל השוק,ענף,sec
FHI,57.82,39.9,שורי,bull,חלקי,מתחת לתמיכה,40-50,80-90,,1.261,עולה,1,6,66.1,14.3,84,52.8,-8.7,2.68,29.9,56.93,1.6,לא,לונג,54.92,-5.0,2.85,73,68,93.0,26,5.2,אזור כניסה,1,כניסה,"Federated Hermes, Inc.",Financial Services,מגן,6,6,8,-0.2549615507287933,46.07312468371817,80,,לא רלוונטי,,לא רלוונטי,0.1324,0.5486,0.2612,0.0852,,0.0455,לא רלוונטי,,35192432.1,2026-10-29,Financial Services,ענף,sec
MHO,138.75,40.5,שורי,bull,חלקי,על התמיכה,40-50,80-90,,0.257,יורדת,4,11,166.57,20.1,80,114.93,-17.2,2.72,17.0,138.14,0.4,לא,לונג,134.84,-2.8,7.12,63,42,67.0,26,5.2,אזור כניסה,1,כניסה,"M/I Homes, Inc.",Consumer Cyclical,מגן,6,6,5,0.2507951259040154,185.19633920884505,45,,אין נתונים,4.61,תקין,0.1469,0.2229,0.062,0.0576,,0.0547,,,31104975.0,2026-10-21,Consumer Cyclical,ענף,sec
MOH,190.86,41.3,שורי,bull,חלקי,על התמיכה,40-50,80-90,"מחזיק את התמיכה, טרם פרץ",-5.092,יורדת,4,12,263.41,38.0,75,81.36,-57.4,3.71,12.1,181.1,5.4,לא,לונג,182.25,-4.5,8.43,47,36,77.0,18,3.6,אזור כניסה,1,כניסה,Molina Healthcare Inc,Healthcare,מגן,6,6,4,-10.600010170570254,16.453433849930615,65,-1.92,אזור אפור,4.32,תקין,0.1562,0.2618,0.0694,0.1004,,0.0629,,,186221338.56,2026-10-21,כלל השוק,ענף,sec
THC,259.71,50.0,שורי,bull,חלקי,על התמיכה,40-50,80-90,,-3.661,יורדת,23,13,293.61,13.1,57,178.36,-31.3,3.22,15.9,212.03,22.5,כן,לונג,244.68,-5.8,2.26,63,59,94.0,19,3.8,אזור כניסה,1,כניסה,Tenet Healthcare Corporation,Healthcare,מגן,6,6,6,-0.4149254139302183,183.5503111634748,63,-2.65,תקין,2.07,אזור אפור,0.1005,0.5907,0.3938,0.0663,,-0.0382,,,276249371.64,2026-10-27,כלל השוק,ענף,sec
TROW,105.51,41.7,שורי,bull,חלקי,על התמיכה,40-50,80-90,,2.881,עולה,2,7,120.84,14.5,72,90.14,-14.6,2.05,37.8,103.88,1.6,לא,לונג,100.37,-4.9,2.98,60,38,63.0,27,5.4,אזור כניסה,1,כניסה,"T. Rowe Price Group, Inc.",Financial Services,מגן,6,6,4,0.0186221973662628,107.51211176454304,48,,לא רלוונטי,,לא רלוונטי,0.1186,0.2615,0.0905,0.0784,,0.0217,לא רלוונטי,,190737074.13,2026-10-30,Financial Services,ענף,sec
ANF,135.71,53.2,שורי,bull,חלקי,אמצע התעלה,40-50,80-90,,-4.21,עולה,12,27,131.02,-3.5,50,70.48,-48.1,4.52,23.0,100.78,34.7,כן,לונג,97.36,-28.3,,56,40,71.0,27,5.4,מגמה תקינה,2,החזקה,Abercrombie & Fitch Company,Consumer Cyclical,מגן,6,6,5,-0.4880861759348572,91.19767537302953,79,-2.3,תקין,5.44,תקין,0.1126,0.914,0.6817,0.0847,,-0.0312,,,206570162.24,2026-11-25,Consumer Cyclical,ענף,sec
GHC,1154.89,52.1,שורי,bull,חלקי,אמצע התעלה,40-50,80-90,,1.277,יורדת,11,6,1242.44,7.6,9,1086.99,-5.9,2.43,13.8,1128.49,2.3,לא,לונג,1097.59,-5.0,1.53,61,54,89.0,48,9.6,מגמה תקינה,2,החזקה,Graham Holdings Company,Industrials,יוזם,3,6,5,0.3470465543813811,1768.717215215609,33,-2.41,תקין,3.17,תקין,0.1101,0.1751,0.0019,0.0071,,-0.0067,,,34066945.220000006,2026-10-28,כלל השוק,ענף,sec
SBH,17.18,63.3,שורי,bull,חלקי,אמצע התעלה,40-50,80-90,"מחזיק את התמיכה, טרם פרץ",6.783,עולה,4,8,17.74,3.3,37,11.79,-31.4,3.3,20.0,14.86,15.7,כן,לונג,15.18,-11.7,0.28,57,32,56.0,60,12.0,מגמה תקינה,2,החזקה,"Sally Beauty Holdings, Inc. (Na",Consumer Cyclical,מגן,6,6,8,0.1411270767376583,20.00295915109713,55,-2.62,תקין,2.87,אזור אפור,0.1111,0.6655,0.069,0.0336,,-0.0274,,,22914615.28,2026-11-12,Consumer Cyclical,ענף,sec
